"","Tract","Year","Ins.Frq","Ins.Val","Tot.Frq","Tot.Val","Res.Frq","Res.Val","Com.Frq","Com.Val"
"1",1,2012,387,11302117,499,42562448,1,3500,106,31122831
"2",1,2013,331,8571938,414,23368067,1,7000,73,14709629
"3",1,2014,214,4843742.39,282,35751034.39,1,15000,62,30826792
"4",1,2015,199,8791086.81,245,16179886.81,1,20000,43,7337800
"5",1,2016,184,9613693.46,228,44155082.46,NA,NA,39,34432389
"6",10,2012,75,740592,98,3064692,8,51600,13,2255000
"7",10,2013,53,241281.35,71,718981.35,12,39700,5,437000
"8",10,2014,44,257458.99,63,496697.99,16,130239,2,108000
"9",10,2015,32,138870,52,219610,17,57740,3,23000
"10",10,2016,47,139920,55,259220,6,106300,2,13000
"11",14,2012,26,55852,39,104652,4,8500,6,23400
"12",14,2013,23,84612,34,145812,5,40500,4,9800
"13",14,2014,36,95571.16,49,201471.16,9,15600,1,2000
"14",14,2015,24,40764.99,37,132564.99,8,31000,1,5000
"15",14,2016,18,91703.92,31,211073.92,9,69790,NA,NA
"16",15,2012,22,66384,27,112849,1,26900,3,19065
"17",15,2013,22,50036,28,75936,4,7400,2,18500
"18",15,2014,22,43276.78,28,87176.78,3,12400,2,20000
"19",15,2015,32,134348,49,339698,11,78950,1,57000
"20",15,2016,18,31868,26,96168,7,54300,NA,NA
"21",16,2012,51,1857486,66,3539486,5,60500,10,1621500
"22",16,2013,52,1859121,64,3174321,7,24500,4,1290500
"23",16,2014,44,1172051.2,58,2209013.2,3,228502,10,791460
"24",16,2015,51,2116454,70,4935980,4,28500,13,2726476
"25",16,2016,22,664633.53,25,805918.53,NA,NA,2,50285
"26",17.01,2012,24,137948,44,482299,16,307665,2,26886
"27",17.01,2013,36,145491,47,185561,10,38070,NA,NA
"28",17.01,2014,14,38863,32,131963,15,46100,1,7000
"29",17.01,2015,29,99450,43,323750,10,143300,1,7000
"30",17.01,2016,22,64331.46,29,91831.46,6,17500,NA,NA
"31",17.02,2012,27,51139,35,91739,7,31100,1,9500
"32",17.02,2013,30,65852,46,140452,15,70100,NA,NA
"33",17.02,2014,33,60739.51,50,185029.51,10,77400,2,2400
"34",17.02,2015,34,87150,45,165220,7,43890,NA,NA
"35",17.02,2016,20,51155,33,112255,10,28800,2,21000
"36",18,2012,27,49656,39,500756,7,269000,4,168100
"37",18,2013,40,152614,60,252114,18,94300,2,5200
"38",18,2014,44,94027.36,59,160127.36,11,49100,3,16500
"39",18,2015,39,150241.02,60,336477.02,21,186236,NA,NA
"40",18,2016,27,63861,41,137911,14,74050,NA,NA
"41",19,2012,61,310067,77,869617,10,73700,2,479250
"42",19,2013,61,169128,76,279946,13,106818,1,3000
"43",19,2014,41,173572.69,58,242642.69,16,69070,NA,NA
"44",19,2015,53,125305,72,247538,19,122233,NA,NA
"45",19,2016,45,217048,62,281020,16,50972,NA,NA
"46",2,2012,52,758083,61,854083,4,32000,5,64000
"47",2,2013,49,130311,60,338801,9,50000,1,143190
"48",2,2014,42,141632.71,57,248242.71,6,24800,3,17355
"49",2,2015,41,93292,74,392163,22,82851,4,76784
"50",2,2016,21,34199,38,262499,7,30400,3,95500
"51",20,2012,23,73778,28,126578,4,49300,1,3500
"52",20,2013,24,81690.67,32,111190.67,6,23000,2,6500
"53",20,2014,21,47275.99,32,298475.99,5,13400,3,169000
"54",20,2015,17,48114,30,3494014,8,65400,3,3259000
"55",20,2016,22,2121163,29,2204204,4,35351,2,32690
"56",21.01,2012,56,229642,77,1477413,8,375600,9,808171
"57",21.01,2013,89,995463,115,4261728,4,127200,13,2995065
"58",21.01,2014,78,1505800.8,106,3227094.8,6,24900,12,1254994
"59",21.01,2015,86,2351548.56,131,6859523.56,12,60000,21,4013870
"60",21.01,2016,46,2115670.36,74,10344616.36,9,71500,13,8046036
"61",21.01,NA,1,150000,1,150000,NA,NA,NA,NA
"62",23,2012,48,21213173,58,23544133,2,3460,6,2304000
"63",23,2013,58,12840990,75,17327556,1,2000,14,4451066
"64",23,2014,35,1848613.58,58,3680606.58,7,546493,11,1213000
"65",23,2015,43,716872.53,61,1940732.53,2,15500,13,1086760
"66",23,2016,34,708769,40,1731133,1,6000,4,925364
"67",24,2012,24,76497,35,155297,4,23900,5,42000
"68",24,2013,22,68702,29,106402,5,23800,NA,NA
"69",24,2014,13,38017.05,20,98567.05,3,19700,3,21850
"70",24,2015,22,69649,39,232648,7,59500,3,44260
"71",24,2016,25,78955,42,250792,6,41250,6,57000
"72",27,2012,20,38316,32,191766,6,25850,5,127100
"73",27,2013,16,69128,25,379077,7,308149,1,800
"74",27,2014,19,60549,32,287449,8,32400,3,177000
"75",27,2015,24,190267,32,278467,6,26200,2,62000
"76",27,2016,30,742908.65,43,1781786.65,10,76378,3,962500
"77",29.01,2012,43,130697,63,260197,9,33400,8,85100
"78",29.01,2013,52,1235717.84,69,3587235.84,13,115024,3,2235144
"79",29.01,2014,36,499321.53,60,934854.53,19,146583,3,278200
"80",29.01,2015,35,381030.37,57,943380.37,12,60700,5,484100
"81",29.01,2016,35,171358,52,489633,9,254400,3,9500
"82",3,2012,23,45471,30,143971,6,16500,1,82000
"83",3,2013,28,81078,34,107298,6,26220,NA,NA
"84",3,2014,16,39713,23,117933,6,63220,NA,NA
"85",3,2015,12,36818.98,21,64018.98,9,27200,NA,NA
"86",3,2016,24,103532,32,161232,7,46000,NA,NA
"87",30,2012,73,1498093,90,2607293,8,423500,6,671000
"88",30,2013,49,1650341,68,6030241,5,90100,6,4109100
"89",30,2014,54,3927550.68,82,12311701.68,10,201500,10,7883001
"90",30,2015,43,257141.25,59,3814829.25,4,13238,8,3495000
"91",30,2016,25,721787,34,1122187,4,32000,3,344000
"92",32,2012,179,11516037,214,35515262,NA,NA,35,23999225
"93",32,2013,220,8388748.49,267,20903539.49,NA,NA,46,12309791
"94",32,2014,246,6439680.79,300,15269051.79,NA,NA,54,8829371
"95",32,2015,215,19736023.45,293,65014623.41,NA,NA,77,45242599.96
"96",32,2016,185,11608695.1,242,40484252.1,NA,NA,54,28266557
"97",32,NA,5,47209.56,6,47709.56,1,500,NA,NA
"98",34,2012,66,3629356,92,9333446,2,1300,15,5309800
"99",34,2013,72,2641436,93,3601236,2,13000,16,711800
"100",34,2014,48,1257361.72,59,3450379.72,NA,NA,9,2170343
"101",34,2015,60,3581372.75,74,16597167.75,2,18905,11,12946890
"102",34,2016,40,1201065.13,53,2284125.13,1,1500,10,1023560
"103",34,NA,11,69825,19,325150,NA,NA,8,255325
"104",35,2012,54,1057652,66,7926143,5,108800,5,6517691
"105",35,2013,46,1684900.92,57,1933484.92,4,17000,7,231584
"106",35,2014,58,741987.35,80,1557462.35,11,379700,8,421000
"107",35,2015,39,526648,51,616648,6,6500,5,67500
"108",35,2016,20,356500,41,4788138,17,124698,3,4306940
"109",36.01,2012,20,19361,22,23761,2,4400,NA,NA
"110",36.01,2013,35,141379.99,53,406829.99,15,244350,NA,NA
"111",36.01,2014,26,134212.99,35,545212.99,7,54000,1,355000
"112",36.01,2015,29,176525,49,408325,15,83500,5,148300
"113",36.01,2016,32,116431.36,41,198431.36,7,68000,NA,NA
"114",36.02,2012,45,91095,52,622315,NA,NA,7,531220
"115",36.02,2013,52,334951,64,1209562,8,48011,4,826600
"116",36.02,2014,53,628876.59,69,1976776.59,7,183500,6,1093550
"117",36.02,2015,32,189462,49,392532.13,11,95920.13,5,107000
"118",36.02,2016,40,511474.69,53,1317641.69,2,4500,9,745667
"119",38,2012,28,155131,31,162831,2,700,NA,NA
"120",38,2013,28,137907,39,336081,6,155474,3,37500
"121",38,2014,27,179964.26,53,360884.26,18,112920,NA,NA
"122",38,2015,30,60775,53,333706,17,188850,1,1
"123",38,2016,21,209487.63,32,289887.63,8,50600,1,900
"124",39,2012,44,122544,63,516687,12,40065,5,344078
"125",39,2013,40,94503.8,55,166223.8,10,22100,2,15000
"126",39,2014,45,274385.58,63,400810.58,13,61100,NA,NA
"127",39,2015,21,60220,45,294725,14,55925,NA,NA
"128",39,2016,28,196420.12,48,439271.12,3,3100,2,22000
"129",4,2012,46,89483,56,181483,7,72500,2,19000
"130",4,2013,48,143454,68,246954,16,81800,3,19700
"131",4,2014,37,137040.78,72,331385.78,32,145345,3,49000
"132",4,2015,36,91003,62,259219,19,76520,4,88696
"133",4,2016,33,93277,46,148348.93,9,32721.93,1,9750
"134",40,2012,18,50122,22,113872,1,2250,2,45600
"135",40,2013,15,163586.99,19,884548.99,2,16000,1,645662
"136",40,2014,20,928840.25,30,1114140.25,5,5600,1,85000
"137",40,2015,15,28350,37,240793,9,52965,4,34000
"138",40,2016,12,53198.18,23,156565.18,4,16500,2,19000
"139",42,2012,46,383847,52,594947,NA,NA,5,207400
"140",42,2013,30,260138,40,772438,1,300,7,312000
"141",42,2014,25,643174.98,30,1101474.98,NA,NA,5,458300
"142",42,2015,34,322360.1,52,1042717.86,NA,NA,15,679697.76
"143",42,2016,28,633974.08,63,1613414.08,1,32000,34,947440
"144",43.01,2012,39,8384269,59,42635724,NA,NA,20,34251455
"145",43.01,2013,46,5961175,60,15652474,NA,NA,12,9650299
"146",43.01,2014,72,5266391.21,93,11904650.21,NA,NA,21,6638259
"147",43.01,2015,60,1325975.43,71,3374720.43,NA,NA,11,2048745
"148",43.01,2016,44,7635646.76,51,21666446.76,NA,NA,7,14030800
"149",43.02,2012,187,6544357,232,15488542,1,500,40,8879685
"150",43.02,2013,173,9482371,200,19855484,NA,NA,26,10329113
"151",43.02,2014,213,10461640.92,248,27613527.92,4,16000,31,17135887
"152",43.02,2015,237,12119705.17,276,21766630.17,NA,NA,39,9646925
"153",43.02,2016,227,14360307.16,270,28654255.16,NA,NA,43,14293948
"154",44,2012,13,301897,19,334397,6,32500,NA,NA
"155",44,2013,16,56643,20,89997,4,33354,NA,NA
"156",44,2014,13,45453.9,27,94133.9,12,39680,NA,NA
"157",44,2015,20,69691,30,272691,8,175000,1,7000
"158",44,2016,14,58344,17,72994,3,14650,NA,NA
"159",45,2012,41,167677,56,262243,11,38200,4,56366
"160",45,2013,41,112903.02,58,218703.02,15,77300,1,25000
"161",45,2014,56,148583.65,103,420287.65,38,129579,5,119000
"162",45,2015,53,286573.88,87,550773.88,33,224200,1,40000
"163",45,2016,37,130080,55,225072,18,94992,NA,NA
"164",46,2012,77,536806,94,1302806,12,74000,3,685000
"165",46,2013,88,323433,110,700323,18,158808,3,160000
"166",46,2014,86,689652.77,132,1938114.77,42,934662,3,309000
"167",46,2015,90,563808,123,1274446.08,30,238638.08,2,470000
"168",46,2016,56,627851,86,1195801,27,105950,2,461000
"169",48,2012,21,37307,24,137307,1,6000,2,94000
"170",48,2013,22,50138,24,51638,2,1500,NA,NA
"171",48,2014,19,86847,32,172647,13,85800,NA,NA
"172",48,2015,25,75894.18,44,170665.18,19,94771,NA,NA
"173",48,2016,20,93225,32,218725,11,75500,1,50000
"174",49,2012,12,16877,17,53377,5,36500,NA,NA
"175",49,2013,8,16818,14,82868,5,26250,NA,NA
"176",49,2014,14,25362.56,19,69382.56,4,27400,NA,NA
"177",49,2015,12,63459,24,105559,10,37100,1,5000
"178",49,2016,12,32100,20,79600,8,47500,NA,NA
"179",5.01,2012,64,357786,81,1936086,NA,NA,12,1400790
"180",5.01,2013,72,313123,99,2749173,9,62400,16,2357650
"181",5.01,2014,50,720754.98,70,3624171.98,4,18503,10,2827414
"182",5.01,2015,40,681753.85,61,972693.85,6,17200,11,163000
"183",5.01,2016,40,681641.55,55,1036341.55,5,18300,7,306400
"184",50,2012,32,1268081,45,9630261,9,105180,3,8256000
"185",50,2013,30,97757,44,219056,13,120299,NA,NA
"186",50,2014,23,56489,39,170695,14,89756,NA,NA
"187",50,2015,28,285434,45,1535597.45,15,91263.45,1,1140000
"188",50,2016,24,261642,36,325283,12,63641,NA,NA
"189",51,2012,27,113199,40,183791.5,7,35992.5,3,4500
"190",51,2013,24,42545,29,67835,3,5000,NA,NA
"191",51,2014,27,312928,45,521198,13,112345,1,10000
"192",51,2015,24,84505,64,537875,20,135430,3,86500
"193",51,2016,27,80435.2,40,177215.2,9,56300,NA,NA
"194",52,2012,29,42155,41,118540,8,51485,1,10000
"195",52,2013,25,662612,44,953156,12,143600,2,113944
"196",52,2014,22,52687,31,149277,8,71590,NA,NA
"197",52,2015,17,39787,44,437627,13,219540,1,4000
"198",52,2016,23,384775,47,2385823,7,42800,3,1764625
"199",53,2012,30,815616,42,4084966,8,31600,1,3220000
"200",53,2013,28,894707,40,1085072,10,161865,NA,NA
"201",53,2014,23,105975,37,415975,8,47000,1,195000
"202",53,2015,13,50892.38,27,216730.38,10,95999,1,689
"203",53,2016,17,81133,30,230658,5,61500,2,16500
"204",54,2012,28,59576,43,289076,12,140500,1,74000
"205",54,2013,30,241503.05,44,1045103.05,9,44000,3,737600
"206",54,2014,22,87849.41,43,1749938.41,19,799383,2,862706
"207",54,2015,39,499636,64,723101,13,56200,2,10000
"208",54,2016,14,125766.15,25,703106.15,6,45200,2,500800
"209",55,2012,46,485162,51,513162,3,20500,NA,NA
"210",55,2013,45,194277,51,470277,5,9000,1,267000
"211",55,2014,44,913725.64,63,2171699.64,8,167700,10,1086674
"212",55,2015,51,2138849.23,64,5798478.23,10,160200,3,3499429
"213",55,2016,56,3843190,76,19395530,3,6040,14,15528300
"214",56.01,2012,35,184966,43,1348993,6,63600,2,1100427
"215",56.01,2013,35,85808,46,283686,10,175878,1,22000
"216",56.01,2014,59,3182624,83,12519508,16,786125.75,8,8550758.25
"217",56.01,2015,40,234733,55,929682.5,9,378809,5,316040.5
"218",56.01,2016,28,77094.22,39,433998.22,7,35238,4,321666
"219",56.02,2012,12,111455,13,112455,NA,NA,1,1000
"220",56.02,2013,30,252920,53,1142420,NA,NA,23,889500
"221",56.02,2014,19,83917,19,83917,NA,NA,NA,NA
"222",56.02,2015,28,163994.42,52,1168696.47,1,1700,23,1003002.05
"223",56.02,2016,46,691700,74,1842370,NA,NA,28,1150670
"224",57,2012,26,128661,33,182286,3,19500,2,17000
"225",57,2013,27,44699,38,131799,8,52000,NA,NA
"226",57,2014,24,62821.03,33,91201.03,8,28180,1,200
"227",57,2015,12,43539,26,110439,13,58500,NA,NA
"228",57,2016,25,83756.65,35,164183.65,6,44540,NA,NA
"229",58,2012,23,35934,32,83384,2,6500,2,14600
"230",58,2013,21,33284,26,51484,5,18200,NA,NA
"231",58,2014,18,37947.99,30,171437.99,11,106490,NA,NA
"232",58,2015,18,32672,26,118504,4,22910,1,1100
"233",58,2016,8,26455,19,127655,8,27200,1,49000
"234",59,2012,37,164171,48,237471,9,50300,1,16000
"235",59,2013,26,61340,32,77840,4,15000,2,1500
"236",59,2014,20,41639,25,103839,4,45300,NA,NA
"237",59,2015,13,44854,21,128064,5,33960,NA,NA
"238",59,2016,13,32878,22,73878,7,18500,1,2800
"239",6,2012,21,36004,25,39684,1,780,2,1700
"240",6,2013,24,168060,32,244760,5,43700,NA,NA
"241",6,2014,30,453660,53,2019055,17,97095,4,1451000
"242",6,2015,28,142245,43,229960,12,60465,1,5000
"243",6,2016,19,44812,29,106874,7,26612,NA,NA
"244",60,2012,38,60596,49,275696,7,65200,1,135000
"245",60,2013,63,128012,77,224272,14,96260,NA,NA
"246",60,2014,50,165319.89,63,240734.89,13,75415,NA,NA
"247",60,2015,51,164986,79,371811.52,24,180613.52,3,25712
"248",60,2016,29,68226,52,186104,20,90478,NA,NA
"249",61.01,2012,50,1681011.75,62,5835911.75,4,30400,7,4124500
"250",61.01,2013,53,809163,66,2170413,9,44550,2,1309700
"251",61.01,2014,62,1219266.74,83,3878268.74,14,79951,4,2534701
"252",61.01,2015,34,131840,52,1987822,11,55850,4,1738282
"253",61.01,2016,31,1947115.03,49,3464105.03,11,114340,4,1369000
"254",61.02,2012,17,67926,19,146926,1,5000,1,74000
"255",61.02,2013,10,146188,10,146188,NA,NA,NA,NA
"256",61.02,2014,18,852719.05,24,7101119.05,1,1000,5,6247400
"257",61.02,2015,11,558101.05,15,590601.05,3,7500,1,25000
"258",61.02,2016,4,47665.53,6,68665.53,1,19800,NA,NA
"259",61.03,2012,35,87815,37,97215,2,9400,NA,NA
"260",61.03,2013,38,78806,55,214934,15,115800,2,20328
"261",61.03,2014,34,473345.54,52,661045.54,15,185200,1,2000
"262",61.03,2015,47,134936,70,490646,21,343710,NA,NA
"263",61.03,2016,26,81998,40,147172,14,65174,NA,NA
"264",7,2012,18,367986,24,811286,3,13800,2,405000
"265",7,2013,22,81113,34,134665,9,42752,1,1000
"266",7,2014,14,24998.99,23,67523.99,8,33525,NA,NA
"267",7,2015,16,41737.05,26,198637.05,8,41900,1,105000
"268",7,2016,17,28568,21,63158,4,34590,NA,NA
"269",8,2012,31,43480,36,49680,3,3300,1,2000
"270",8,2013,19,25772,28,128627,9,102855,NA,NA
"271",8,2014,32,46098.66,47,144798.66,11,35700,NA,NA
"272",8,2015,18,58131.96,26,107121.96,7,35090,NA,NA
"273",8,2016,16,48512,26,116212,10,67700,NA,NA
"274",9,2012,48,149388,63,231788,14,74950,1,7450
"275",9,2013,54,184885,69,304085,12,107000,2,11000
"276",9,2014,51,196820.99,66,283545.99,13,78925,2,7800
"277",9,2015,37,143087,58,280437,20,136600,NA,NA
"278",9,2016,36,160834,56,457152,18,145318,1,150000
